institution_name,country_code,period,trading_intensity_assets,in_trade,rt_rwa,in_roa,in_roe
Aachener Bank eG,DE,post,0.2503504290998265,0.0014469,0.5021008150999999,0.0075014,0.0864212
Aachener Bank eG,DE,pre,0.24251463729030956,0.0020177,0.4898532247,0.0078274,0.100677
Abtsgmünder Bank -Raiffeisen- eG,DE,post,0.28996161562926226,0.0,0.4244292944,0.0072167,0.08233570000000001
Abtsgmünder Bank -Raiffeisen- eG,DE,pre,0.31451077014969947,0.0,0.5053720088,0.008743,0.1198077
Airbus Group Bank GmbH,DE,post,0.09217680977655066,0.00086555,0.8759015035,0.0037641000000000003,0.0367894
Airbus Group Bank GmbH,DE,pre,0.1537094800753573,0.0008237,0.8156151452,0.0037116,0.0398845
Allgäuer Volksbank eG Kempten-Sonthofen,DE,post,0.30289569454352006,0.0,0.592022183,0.0044155,0.0682821
Allgäuer Volksbank eG Kempten-Sonthofen,DE,pre,0.25359946409963774,0.0,0.6518893622,0.0034708,0.0705227
Alxing-Brucker Genossenschaftsbank eG,DE,post,0.36331200847894823,0.0,0.4760398545,0.00312955,0.04274345
Alxing-Brucker Genossenschaftsbank eG,DE,pre,0.4701271813073055,0.0,0.599234113,0.0048309,0.0758514
Andelsbanken Raseborg,FI,post,0.09398732389033068,0.0406147,0.4523262093,0.0037362,0.0442906
Andelsbanken Raseborg,FI,pre,0.09160902806536904,0.0070523,0.6092510592,0.0044121,0.0610401
Augusta-Bank eG Raiffeisen-Volksbank,DE,post,0.4104447491960989,0.0,0.5130715873,0.0050974,0.0873561
Augusta-Bank eG Raiffeisen-Volksbank,DE,pre,0.35610178163621015,0.0,0.4916866683,0.0029751,0.0578052
BAG Bankaktiengesellschaft,DE,post,0.3341434874325244,0.00028150000000000007,1.1718341895,0.012676650000000001,0.0647402
BAG Bankaktiengesellschaft,DE,pre,0.2782922917240911,0.0,0.9396104762,0.0055765,0.0535888
BANK IM BISTUM ESSEN eG,DE,post,0.37624367006841536,0.0,0.4820536529,0.003868,0.0697503
BANK IM BISTUM ESSEN eG,DE,pre,0.36932413456788743,0.0,0.3512808507,0.0037633,0.1221851
BBBank eG,DE,post,0.41050753305389537,5.9e-05,0.4742658912,0.0039439,0.040153
BBBank eG,DE,pre,0.525336346068249,0.0011661,0.599234113,0.0026631,0.0253109
BCC SME Finance 1 Srl,IT,post,0.7777777777777779,0.0,0.58952249935,0.0222222,0.1
BCC Umbria Credito cooperativo SC,IT,post,0.3601780430439291,0.1136493,0.5529828709,0.003294,0.0396735
BCC Umbria Credito cooperativo SC,IT,pre,0.16618921120346547,-0.0952323,0.7553175734,0.003073,0.0329398
BCC del Crotonese – Credito Cooperativo SC,IT,post,0.4948595048508786,0.21959569999999998,0.4110275662,0.0023467,0.01888285
BCC del Crotonese – Credito Cooperativo SC,IT,pre,0.5102194229686898,0.0114032,0.3908957611,-0.0135668,-0.1038784
Banca Adria Credito Cooperativo del Delta SC,IT,post,0.353670063073593,0.2064849,0.5425318674,0.0033459,0.0411085
Banca Adria Credito Cooperativo del Delta SC,IT,pre,0.30488099647519334,0.0609748,0.6756151892,0.0035057,0.0260425
Banca Agricola Popolare di Ragusa,IT,post,0.23626293855778685,0.0327455,0.6439530376,0.0029777,0.0184836
Banca Agricola Popolare di Ragusa,IT,pre,0.18169243290934456,-0.0001019,0.6645076341,0.0129558,0.0755359
Banca Alpi Marittime – Credito Cooperativo Carrù SCpA,IT,post,0.40120370439321534,0.4317743,0.4319296778,0.0058084,0.1458867
Banca Alpi Marittime – Credito Cooperativo Carrù SCpA,IT,pre,0.22903784648187633,0.02398,0.637191065,0.0019425,0.0400297
Banca Alto Vicentino Credito Cooperativo di Schio e Pedemonte SC,IT,post,0.28828837566582993,0.1346948,0.5543158197,0.002562,0.0297012
Banca Alto Vicentino Credito Cooperativo di Schio e Pedemonte SC,IT,pre,0.11126107116807338,0.0273703,0.792551176,-0.0038719,-0.0441522
Banca Annia - Credito Cooperativo di Cartura e del Polesine SC,IT,post,0.3255389400174496,0.0579918,0.5648868911,0.0014111,0.0200713
Banca Annia - Credito Cooperativo di Cartura e del Polesine SC,IT,pre,0.24114020801902344,-0.0470076,0.6964141197,0.0036728,0.0307178
Banca Area Pratese Credito Cooperativo SC,IT,post,0.2764445836035754,0.0290806,0.6710424155,0.0017315,0.0193161
Banca Area Pratese Credito Cooperativo SC,IT,pre,0.22647838427435435,-0.0061778,0.6411427261,-0.0088407,-0.0928552
Banca Atestina di Credito Cooperativo,IT,post,0.3105066351590604,0.18379745,0.65570683265,-0.0071495000000000005,-0.08268355000000001
Banca Atestina di Credito Cooperativo,IT,pre,0.19994680293830483,0.0590435,0.7488570698,0.0013849,0.0133401
Banca Cassa di Risparmio di Savigliano SpA,IT,post,0.3009631423496805,0.185127,0.5693070011,0.0027985,0.0453109
Banca Cassa di Risparmio di Savigliano SpA,IT,pre,0.17360634580569675,0.0198277,0.7249343837,0.0047256,0.0690183
Banca Centro Emilia - Credito Cooperativo SC,IT,post,0.3797187405026569,0.1800752,0.49213079169999996,0.0042963,0.0549891
Banca Centro Emilia - Credito Cooperativo SC,IT,pre,0.17648429667305057,0.0520219,0.599234113,0.0013375,0.0170209
Banca Centropadana Credito Cooperativo Scrl,IT,post,0.28626758564394644,0.2588845,0.6802361689,0.0056054,0.0514225
Banca Centropadana Credito Cooperativo Scrl,IT,pre,0.12780762746898516,0.0134656,0.8012248819,0.002841,0.0225478
Banca Cras Credito Cooperativo Toscano – Siena,IT,post,0.35227220457865144,0.1841462,0.5009807599,0.0029565,0.0410779
Banca Cras Credito Cooperativo Toscano – Siena,IT,pre,0.18899869804595018,-0.0262604,0.6689988099,0.0027689,0.0318047
Banca Cremasca Credito Cooperativo SC,IT,post,0.35534201207696114,0.1762448,0.5632303379,0.0041989,0.0383764
Banca Cremasca Credito Cooperativo SC,IT,pre,0.3150555253969211,0.1261603,0.6412362359,0.0057787,0.0528769
Banca Di Salerno Credito Cooperativo SC,IT,post,0.37080128984376,0.0986968,0.5638171954,0.0009295,0.0160824
Banca Don Rizzo Credito Cooperativo della Sicilia Occidentale SC,IT,post,0.35043366233094175,0.1195876,0.6598459407,-0.0072413,-0.0594235
Banca Don Rizzo Credito Cooperativo della Sicilia Occidentale SC,IT,pre,0.23653736033354314,0.0122628,0.6873932241,0.0002816,0.0021261
Banca Malatestiana Credito Cooperativo SC,IT,post,0.3625244074079581,0.2067467,0.6339229519,0.0018397,0.0152808
Banca Malatestiana Credito Cooperativo SC,IT,pre,0.16514431589585565,-0.0117783,0.8463089863,0.0065118,0.0434133
