institution_name,cluster_post,cluster_pre,ass_total_pre,size_class
Aachener Bank eG,0,0,782.761,large
Abtsgmünder Bank -Raiffeisen- eG,0,0,133.935,small
Airbus Group Bank GmbH,2,2,390.672,medium
Allgäuer Volksbank eG Kempten-Sonthofen,0,2,382.907,medium
Alxing-Brucker Genossenschaftsbank eG,0,0,20.286,small
Andelsbanken Raseborg,2,2,313.91,medium
Augusta-Bank eG Raiffeisen-Volksbank,0,0,1201.985,large
BAG Bankaktiengesellschaft,2,2,2445.242,large
BANK IM BISTUM ESSEN eG,0,0,4117.654,large
BBBank eG,0,0,7200.545,large
BCC Umbria Credito cooperativo SC,1,2,432.152,medium
BCC del Crotonese – Credito Cooperativo SC,1,3,135.036,small
Banca Adria Credito Cooperativo del Delta SC,1,2,575.067,large
Banca Agricola Popolare di Ragusa,2,2,4387.459,large
Banca Alpi Marittime – Credito Cooperativo Carrù SCpA,1,2,1028.048,large
Banca Alto Vicentino Credito Cooperativo di Schio e Pedemonte SC,1,2,422.268,medium
Banca Annia - Credito Cooperativo di Cartura e del Polesine SC,0,2,500.435,medium
Banca Area Pratese Credito Cooperativo SC,2,3,383.679,medium
Banca Atestina di Credito Cooperativo,1,2,477.282,medium
Banca Cassa di Risparmio di Savigliano SpA,1,2,1011.944,large
Banca Centro Emilia - Credito Cooperativo SC,1,2,477.765,medium
Banca Centropadana Credito Cooperativo Scrl,1,2,1552.966,large
Banca Cras Credito Cooperativo Toscano – Siena,1,2,715.079,large
Banca Cremasca Credito Cooperativo SC,1,1,596.844,large
Banca Don Rizzo Credito Cooperativo della Sicilia Occidentale SC,1,2,422.614,medium
Banca Malatestiana Credito Cooperativo SC,1,2,1352.623,large
Banca Padovana Credito Cooperativo - SC,3,3,2260.507,large
Banca Picena Truentina Credito Cooperativo - SC,1,2,634.108,large
Banca Popolare Etica SCpA,0,2,749.674,large
Banca Popolare Sant'Angelo SCRL,1,2,934.54,large
Banca Popolare Valconca SCpA,2,2,1014.818,large
Banca Popolare del Cassinate SCpA,1,0,618.4,large
Banca Popolare del Frusinate - SCpA,1,0,458.176,medium
Banca Popolare del Lazio SCpA,2,2,1697.018,large
Banca Popolare dell'Alto Adige SCpA,2,2,4981.817,large
Banca Popolare delle Province Calabre SCpA,3,3,28.671,small
Banca Popolare delle Province Molisane SCpA,2,2,63.235,small
"Banca Popolare di Bari, SCpA",1,2,7285.762,large
Banca Popolare di Cividale SCpA,1,2,4419.892,large
Banca Popolare di Cortona SCpA,1,2,245.878,medium
Banca Popolare di Fondi SC,2,2,685.191,large
Banca Popolare di Lajatico SCpA,2,2,656.504,large
Banca Popolare di Milano Scarl,1,2,43954.244999999995,large
Banca Popolare di Puglia e Basilicata SCpA,1,2,4459.697,large
Banca Popolare di Vicenza SpA,1,2,28933.33,large
Banca Regionale di Sviluppo SpA,3,2,536.037,large
Banca Romagna Cooperativa – Credito Cooperativo Romagna Centro e Macerone SC,3,2,1197.921,large
Banca San Biagio del Veneto Orientale di Cesarolo,1,2,790.226,large
Banca San Giorgio Quinto Valle Agno Credito Cooperativo SC,1,2,1005.455,large
Banca Santo Stefano Credito Cooperativo Martellago - Venezia Società Cooperativa,1,2,851.523,large
Banca Suasa - Credito Cooperativo - SC,1,2,270.057,medium
Banca Valdichiana Credito Cooperativo Di Chiusi E Montepulciano SC,2,2,293.827,medium
"Banca Valdichiana Credito Cooperativo Tosco-Umbro, Societa Cooperativa",1,2,615.016,large
Banca Versilia Lunigiana e Garfagnana - Credito Cooperativo - SC,1,2,902.093,large
Banca dei Colli Euganei - Credito Cooperativo - Lozzo Atestino SC,1,2,320.637,medium
Banca dei Sibillini Credito Cooperativo di Casavecchia SC,0,2,93.974,small
Banca del Centroveneto - Credito Cooperativo – SC – Longare,1,2,983.583,large
"Banca del Cilento, di Sassano e del Vallo di Diano e della Lucania",1,2,274.016,medium
Banca del Fermano - Credito Cooperativo – SC,1,2,41.176,small
Banca del Mugello Credito Cooperativo – SC,1,2,442.457,medium
Banca del Territorio Lombardo Credito Cooperativo - SC,1,2,2252.309,large
Banca del Valdarno - Credito Cooperativo - SC,1,2,509.324,medium
Banca dell'Alta Murgia Credito Cooperativo SC,0,2,72.513,small
Banca dell'Elba Credito Cooperativo SC,2,2,72.009,small
Banca della Marca Credito Cooperativo SC,2,2,1826.432,large
Banca della Maremma – Credito Cooperativo di Grosseto - SC,1,2,416.879,medium
Banca della Nuova Terra SpA,3,2,506.979,medium
Banca di Ancona Credito Cooperativo SC,1,2,264.896,medium
Banca di Andria di Credito Cooperativo SCpA a Responsabilità Limitata,0,2,34.299,small
Banca di Anghiari e Stia Credito Cooperativo SC,1,2,488.201,medium
Banca di Bedizzole Turano Valvestino Credito Cooperativo SC,1,2,638.523,large
Banca di Bologna Credito Cooperativo Società Cooperativa,1,2,1769.987,large
Banca di Capranica Credito Cooperativo SC,1,2,157.846,small
Banca di Caraglio del Cuneese e della Riviera dei Fiori Credito Cooperativo SC,1,2,1045.41,large
Banca di Carnia e Gemonese Credito Cooperativo - SC,1,2,206.604,medium
Banca di Cascina Credito Cooperativo SC,2,2,270.889,medium
Banca di Credito Cooperativo Abruzzese Cappelle sul Tavo SC,1,2,333.235,medium
Banca di Credito Cooperativo Agrigentino SC,1,1,44.969,small
Banca di Credito Cooperativo Agrobresciano SC,1,2,1240.377,large
Banca di Credito Cooperativo Antonello da Messina SC,1,1,45.205,small
Banca di Credito Cooperativo Bergamasca e Orobica SC,1,2,811.93,large
Banca di Credito Cooperativo Bergamo e Valli,1,3,358.311,medium
Banca di Credito Cooperativo Centro Calabria SC,1,0,259.906,medium
Banca di Credito Cooperativo Colli Morenici del Garda - SC,1,2,1760.035,large
Banca di Credito Cooperativo Don Stella di Resuttano – SC,0,0,59.734,small
Banca di Credito Cooperativo Giuseppe Toniolo - SC,1,2,353.607,medium
Banca di Credito Cooperativo La Riscossa di Regalbuto SC,1,0,291.671,medium
Banca di Credito Cooperativo Laudense - Lodi SC,1,1,288.298,medium
Banca di Credito Cooperativo Mediocrati,1,0,454.106,medium
Banca di Credito Cooperativo Monte Pruno di Roscigno e di Laurino SC,0,2,253.998,medium
Banca di Credito Cooperativo Orobica di Bariano e Cologno al Serio SC,1,2,561.719,large
Banca di Credito Cooperativo Picena SC,1,1,620.864,large
Banca di Credito Cooperativo Pordenonese - SC,1,2,1066.255,large
Banca di Credito Cooperativo San Vincenzo de Paoli” di Casagiove,0,0,144.375,small
Banca di Credito Cooperativo Sangro Teatina di Atessa SC,1,0,327.141,medium
Banca di Credito Cooperativo Sen. Pietro Grammatico” di Paceco SC,3,2,152.395,small
